module,subroutine,inst_type,inst_name,member_type,member_name,status
canopyfluxesmod,canopyfluxes,vegetation_water_flux,veg_wf,real,veg_wf%qflx_ev_snow,w
canopyfluxesmod,canopyfluxes,vegetation_water_flux,veg_wf,real,veg_wf%qflx_ev_soil,w
canopyfluxesmod,canopyfluxes,vegetation_water_flux,veg_wf,real,veg_wf%qflx_ev_h2osfc,w
canopyfluxesmod,canopyfluxes,vegetation_energy_state,veg_es,real,veg_es%t_ref2m_r,w
canopyfluxesmod,canopyfluxes,vegetation_water_state,veg_ws,real,veg_ws%q_ref2m,w
canopyfluxesmod,canopyfluxes,vegetation_water_state,veg_ws,real,veg_ws%rh_ref2m,w
canopyfluxesmod,canopyfluxes,vegetation_water_state,veg_ws,real,veg_ws%rh_ref2m_r,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%dlrad,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%ulrad,w
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%cgrnd,w
canopyfluxesmod,canopyfluxes,vegetation_water_flux,veg_wf,real,veg_wf%qflx_tran_veg,rw
canopyfluxesmod,canopyfluxes,vegetation_water_state,veg_ws,real,veg_ws%h2ocan,rw
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%cgrnds,rw
canopyfluxesmod,canopyfluxes,vegetation_energy_flux,veg_ef,real,veg_ef%cgrndl,rw
lakefluxesmod,lakefluxes,vegetation_physical_properties,veg_pp,integer,veg_pp%column,r
lakefluxesmod,lakefluxes,vegetation_physical_properties,veg_pp,integer,veg_pp%topounit,r
lakefluxesmod,lakefluxes,column_physical_properties,col_pp,integer,col_pp%gridcell,r
